"m,a,b,c,q",match
"l,m,q,l,z",match
"bala,qala,faka,cala,qala",spell
"ma,nga,qala,fa,baleka",Sound
"c,l,m,k,e",match
"m,c,g,c,m",match
"c,m,g,l,y",matchSound
"c,c,m,m,y",match
"m,e,l,c,c",match
"k,c,c,m,c",matchSound
"y,l,c,m,k",matchfirst
"y,m,m,c,l",matchfirst
"q,a,c,b,c",matchSound
"g,m,c,m,c",matchfirst
"k,c,l,y,m",matchfirst
"ge,ge,ceca,geza,geca",spell
"yenza,lembu,yenza,ceca,me",spell
"lenga,le,cela,cela,yenza",Sound
"p,b,f,b,k",match
"i,f,z,k,k",match
"b,k,l,f,k",matchSound
"f,p,p,k,k",match
"p,k,k,f,b",match
"q,a,d,d,b",match
"p,p,k,k,i",matchSound
"p,p,p,b,l",matchfirst
"f,p,z,k,l",matchfirst
"k,p,p,z,k",matchfirst
"k,l,l,k,z",matchfirst
"kimi,li,bila,khiya,lizwe",spell
"kimi,zi,khiya,phi,litsha",spell
"phi,kithi,phi,phinda,phila",Sound
"g,w,g,g,o",match
"d,l,x,x,g",match
"z,m,l,q,c",match
"q,l,q,o,x",matchSound
"d,o,l,q,d",match
"x,g,l,g,g",match
"o,w,g,d,l",matchSound
"w,x,x,g,l",matchfirst
"l,q,w,g,x",matchfirst
"g,x,d,w,q",matchfirst
"x,l,w,l,x",matchfirst
"gxoba,qolo,xolela,lola,xola",spell
"gogo,dobha,londa,qo,gola",spell
"b,m,l,l,k",matchSound
"woza,qo,qolo,loba,gxoba",Sound
"d,b,u,f,t",match
"s,f,d,t,t",match
"b,k,d,t,u",matchSound
"f,u,d,t,t",match
"t,s,u,b,t",match
"k,f,k,s,t",matchSound
"s,t,s,t,f",matchfirst
"d,f,u,b,k",matchfirst
"f,b,k,k,f",matchfirst
"q,b,d,b,k",matchfirst
"d,d,u,f,f",matchfirst
"bhuqa,buza,bu,susa,bumba",spell
"khulu,fuza,funa,bumba,busisa",spell
"khutha,fuqa,fuqa,duma,khu",Sound
"t,d,s,s,f",match
"b,s,s,s,k",match
"s,b,b,d,t",matchSound
"s,k,f,u,f",match
"b,t,d,f,k",match
"b,f,s,d,t",matchSound
"c,q,k,l,k",matchfirst
"b,u,t,u,d",matchfirst
"u,t,f,s,b",matchfirst
"b,d,b,d,k",matchfirst
"d,b,k,t,f",matchfirst
"fu,buya,bumba,khutha,du",spell
"buya,sudula,khula,bu,fulela",spell
"funza,khulu,su,khula,su",Sound
"d,z,z,l,z",matchfirst
"lala,faka,lala,bha,dana",spell
